transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,age_group,revenue_per_item
1,2021-11-24,CUST001,Male,34,Beauty,3,50,150,2021,11,26-35,50.0
2,2021-02-27,CUST002,Female,26,Accessories,2,500,1000,2021,2,26-35,500.0
3,2021-01-13,CUST003,Male,50,Beauty,1,30,30,2021,1,36-50,30.0
4,2021-05-21,CUST004,Male,37,Accessories,1,500,500,2021,5,36-50,500.0
5,2021-05-06,CUST005,Male,30,Clothing,2,50,100,2021,5,26-35,50.0
6,2021-04-25,CUST006,Female,45,Sports,1,30,30,2021,4,36-50,30.0
7,2021-03-13,CUST007,Male,46,Electronics,2,25,50,2021,3,36-50,25.0
8,2021-02-22,CUST008,Male,30,Clothing,4,25,100,2021,2,26-35,25.0
9,2021-12-13,CUST009,Male,63,Clothing,2,300,600,2021,12,50+,300.0
10,2021-10-07,CUST010,Female,52,Clothing,4,50,200,2021,10,50+,50.0
11,2021-02-14,CUST011,Male,23,Beauty,2,50,100,2021,2,18-25,50.0
12,2021-10-30,CUST012,Male,35,Accessories,3,25,75,2021,10,26-35,25.0
13,2021-08-05,CUST013,Male,22,Beauty,3,500,1500,2021,8,18-25,500.0
14,2021-01-17,CUST014,Male,64,Home,4,30,120,2021,1,50+,30.0
15,2021-01-16,CUST015,Female,42,Accessories,4,500,2000,2021,1,36-50,500.0
16,2021-02-17,CUST016,Male,19,Electronics,3,500,1500,2021,2,18-25,500.0
17,2021-04-22,CUST017,Female,27,Electronics,4,25,100,2021,4,26-35,25.0
18,2021-04-30,CUST018,Female,47,Electronics,2,25,50,2021,4,36-50,25.0
19,2021-09-16,CUST019,Female,62,Electronics,2,25,50,2021,9,50+,25.0
20,2021-11-05,CUST020,Male,22,Clothing,3,300,900,2021,11,18-25,300.0
21,2021-01-14,CUST021,Female,50,Beauty,1,500,500,2021,1,36-50,500.0
22,2021-10-15,CUST022,Male,18,Electronics,2,50,100,2021,10,,50.0
23,2021-04-12,CUST023,Female,35,Books,4,30,120,2021,4,26-35,30.0
24,2021-11-29,CUST024,Female,49,Beauty,1,300,300,2021,11,36-50,300.0
25,2021-12-26,CUST025,Female,64,Books,1,50,50,2021,12,50+,50.0
26,2021-10-07,CUST026,Female,28,Electronics,2,500,1000,2021,10,26-35,500.0
27,2021-08-03,CUST027,Female,38,Home,2,25,50,2021,8,36-50,25.0
28,2021-04-23,CUST028,Female,43,Beauty,1,500,500,2021,4,36-50,500.0
29,2021-08-18,CUST029,Female,42,Books,1,30,30,2021,8,36-50,30.0
30,2021-10-29,CUST030,Female,39,Electronics,3,300,900,2021,10,36-50,300.0
31,2021-05-23,CUST031,Male,44,Books,4,300,1200,2021,5,36-50,300.0
32,2021-01-04,CUST032,Male,30,Sports,3,30,90,2021,1,26-35,30.0
33,2021-03-23,CUST033,Female,50,Books,2,50,100,2021,3,36-50,50.0
34,2021-12-24,CUST034,Female,51,Clothing,3,50,150,2021,12,50+,50.0
35,2021-08-05,CUST035,Female,58,Home,3,300,900,2021,8,50+,300.0
36,2021-06-24,CUST036,Male,52,Clothing,3,300,900,2021,6,50+,300.0
37,2021-05-23,CUST037,Female,18,Accessories,3,25,75,2021,5,,25.0
38,2021-03-21,CUST038,Male,38,Clothing,4,50,200,2021,3,36-50,50.0
39,2021-04-21,CUST039,Male,23,Accessories,4,30,120,2021,4,18-25,30.0
